,titles,publishers,authors,years
426,Aversive democracy : inheritance and originality in the democratic tradition,Cambridge : Cambridge University Press 2007,Aletta J. Norval,2007
427,Beyond the metropolis : villages in Hong Kong,Hong Kong : Joint Publishing H.K. Co. Ltd. 1995,"editors, P.H. Hase, Elizabeth Sinn",1995
428,Global civil society?,Cambridge : Cambridge University Press 2003,John Keane,2003
429,Human ecology : a theory of community structure,New York : Ronald Press 1950,A. H. Hawley,1950
430,明清文學中的西南敘事 = The southwest in Ming-Qing literary imagination,初版 臺北 : 國立臺灣大學出版中心 2017,胡曉真著,2017
431,The ethics of immigration,New York : Oxford University Press 2013,Joseph H. Carens,2013
432,"Public health ethics : theory, policy, and practice",Oxford ; New York : Oxford University Press 2007,edited by Ronald Bayer ... [et al.],2007
433,On common laws,Oxford ; New York : Oxford University Press 2005,H. Patrick Glenn,2005
434,An introduction to psychological assessment & psychometrics,2nd edition Los Angeles : SAGE 2014,Keith Coaley,2014
435,The study of urban geography,4th ed London : Edward Arnold 1995,Harold Carter,1995
436,God's beauty : a call to justice,"Collegeville, Minn. : Liturgical Press c2012",Patrick T. McCormick,2012
437,Fifty years of public housing in Hong Kong : a golden jubilee review and appraisal,"Hong Kong : Chinese University Press for the Hong Kong Housing Authority, Hong Kong Institute of Asia-Pacific Studies c2003",edited by Y.M. Yeung and Timonthy K.Y. Wong,2003
438,Brokered boundaries : creating immigrant identity in anti-immigrant times,New York : Russell Sage Foundation 2010,Douglas S. Massey and Magaly Sánchez R,2010
439,Researching the art of teaching : ethnography for educational use,London ; New York : Rouledge 1996,Peter Woods,1996
440,上海摩登 : 一種新都市文化在中國1930-1945,增訂版 Hong Kong : Oxford University Press China Ltd. 2006,李歐梵 ; 毛尖譯,2006
441,Psychological testing and assessment : an introduction to tests and measurement,"8th ed New York, NY : McGraw-Hill c2013","Ronald Jay Cohen, Mark E. Swerdlik, Edward D. Sturman",2013
442,"The impossible state : North Korea, past and future",1st ed New York : Ecco c2012,Victor Cha,2012
443,Adolescence,3rd ed New York : McGraw-Hill c1993,Laurence Steinberg,1993
444,樂在顚錯中 : 香港雅俗音樂文化,香港 : : 牛津出版社 c2001,余少華,2001
